CPI,Month,Year
242.839,Jan,2017
247.867,Jan,2018
251.712,Jan,2019
257.971,Jan,2020
261.582,Jan,2021
281.148,Jan,2022
243.603,Feb,2017
248.991,Feb,2018
252.776,Feb,2019
258.678,Feb,2020
263.014,Feb,2021
283.716,Feb,2022
243.801,Mar,2017
249.554,Mar,2018
254.202,Mar,2019
258.115,Mar,2020
264.877,Mar,2021
287.504,Mar,2022
244.524,Apr,2017
250.546,Apr,2018
255.548,Apr,2019
256.389,Apr,2020
267.054,Apr,2021
289.109,Apr,2022
244.733,May,2017
251.588,May,2018
256.092,May,2019
256.394,May,2020
269.195,May,2021
292.296,May,2022
244.955,Jun,2017
251.989,Jun,2018
256.143,Jun,2019
257.797,Jun,2020
271.696,Jun,2021
296.311,Jun,2022
244.786,Jul,2017
252.006,Jul,2018
256.571,Jul,2019
259.101,Jul,2020
273.003,Jul,2021
296.276,Jul,2022
245.519,Aug,2017
252.146,Aug,2018
256.558,Aug,2019
259.918,Aug,2020
273.567,Aug,2021
296.171,Aug,2022
246.819,Sep,2017
252.439,Sep,2018
256.759,Sep,2019
260.28,Sep,2020
274.31,Sep,2021
296.808,Sep,2022
246.663,Oct,2017
252.885,Oct,2018
257.346,Oct,2019
260.388,Oct,2020
276.589,Oct,2021
298.012,Oct,2022
246.669,Nov,2017
252.038,Nov,2018
257.208,Nov,2019
260.229,Nov,2020
277.948,Nov,2021
246.524,Dec,2017
251.233,Dec,2018
256.974,Dec,2019
260.474,Dec,2020
278.802,Dec,2021
